league,matches,threshold,1x2_accuracy,over_under_accuracy,btts_accuracy
FC 24. 4x4. Championnat d'Angleterre,467,13.5,0.4255,0.6064,1.0
FC 25. 3x3. Ligue de conférence,571,13.5,0.3913,0.6783,1.0
FC 25. Championnat d'Allemagne,258,2.5,0.5,0.6731,0.6154
FC 25. Championnat d'Angleterre,283,2.5,0.5439,0.4912,0.4035
FC 25. Championnat d'Espagne,283,2.5,0.5088,0.6491,0.6842
FC 25. Champions League,264,2.5,0.4717,0.6415,0.4528
FC 25. Italy Championship,282,2.5,0.4912,0.5088,0.5614
FC 25. Ligue européenne,283,2.5,0.386,0.5439,0.5614
FC 26. 5x5 Rush. Superligue,448,6.5,0.3,0.5222,0.9556
FC 26. Championnat du monde,281,2.5,0.4561,0.5088,0.5439
FC 26. Champions League,287,2.5,0.4655,0.6379,0.6897
FC24. Penalty,749,6.5,0.54,0.6733,0.9667
FC25. Penalty,922,6.5,0.5189,0.4811,0.9568
FC26. Penalty,106,4.5,0.5,0.6364,0.7273
FIFA23. Penalty,55,10.5,0.7273,0.6364,1.0
Penalty,1273,4.5,0.5569,0.5529,0.8471
